Sample, accel, ADC_0, ADC_1, ADC_2, Interval,,time, acceleration
265,1140.9201,739.4736,594.7825,633.3333,5.2792,,1391.8347,1140.9201
266,1137.7785,737.7192,596.5217,628.0701,5.2874,,1397.1221,1137.7785
267,1136.2154,735.9649,594.7825,628.9473,5.2814,,1402.4035,1136.2154
268,1133.4899,732.4561,593.913,628.9473,5.2744,,1407.6779,1133.4899
269,1138.8725,733.3333,595.6521,635.9649,5.276,,1412.9539,1138.8725
270,1137.1268,735.9649,596.5217,628.9473,5.2885,,1418.2424,1137.1268
271,1137.9403,742.1052,590.4347,628.9473,5.2846,,1423.527,1137.9403
272,1141.2282,738.5964,597.3912,632.4561,5.2744,,1428.8014,1141.2282
273,1140.5494,736.8421,598.2608,632.4561,5.2721,,1434.0735,1140.5494
274,1133.3762,732.4561,597.3912,625.4385,5.2847,,1439.3582,1133.3762
275,1142.1666,739.4736,600.8695,629.8245,5.2716,,1444.6298,1142.1666
276,1144.7012,741.228,602.6087,630.7017,5.276,,1449.9058,1144.7012
277,1131.1684,729.8245,598.2608,623.6842,5.2869,,1455.1927,1131.1684
278,1136.1303,735.9649,597.3912,626.3157,5.2847,,1460.4774,1136.1303
279,1135.5357,734.2105,595.6521,628.9473,5.2722,,1465.7496,1135.5357
280,1138.6914,737.7192,598.2608,628.0701,5.2738,,1471.0234,1138.6914
281,1138.0703,732.4561,602.6087,628.9473,5.2898,,1476.3132,1138.0703
282,1134.9216,734.2105,600,623.6842,5.2713,,1481.5845,1134.9216
283,1134.595,735.9649,600.8695,620.1754,5.2564,,1486.8409,1134.595
284,1137.5664,736.8421,600.8695,624.5614,5.2873,,1492.1282,1137.5664
285,1141.4003,742.1052,603.4782,622.807,5.2879,,1497.4161,1141.4003
286,1135.7687,734.2105,605.2174,620.1754,5.2722,,1502.6883,1135.7687
287,1137.488,736.8421,604.3478,621.0526,5.2716,,1507.9599,1137.488
288,1134.5063,735.0877,600.8695,621.0526,5.2803,,1513.2402,1134.5063
289,1141.6989,744.7368,602.6087,621.0526,5.2787,,1518.5189,1141.6989
290,1138.0162,741.228,600.8695,620.1754,5.2712,,1523.7901,1138.0162
291,1138.8374,736.8421,609.5652,618.421,5.2667,,1529.0568,1138.8374
292,1142.8526,738.5964,608.6956,624.5614,5.2862,,1534.343,1142.8526
293,1139.9355,742.1052,605.2174,618.421,5.2749,,1539.6179,1139.9355
294,1138.0485,738.5964,614.7825,609.6491,5.2727,,1544.8906,1138.0485
295,1140.026,735.0877,615.6521,616.6666,5.2819,,1550.1725,1140.026
296,1151.3148,747.3684,613.913,624.5614,5.2776,,1555.4501,1151.3148
297,1145.3774,740.3508,611.3043,624.5614,5.2732,,1560.7233,1145.3774
298,1146.5308,750,604.3478,621.9298,5.2722,,1565.9955,1146.5308
299,1131.8193,742.1052,586.0869,621.9298,5.2678,,1571.2633,1131.8193
300,1145.149,755.2631,571.3043,643.8596,5.2814,,1576.5447,1145.149
301,1127.9666,742.9824,560,637.7192,5.2722,,1581.8169,1127.9666
302,1121.341,736.8421,554.7825,637.7192,5.2705,,1587.0874,1121.341
303,1125.0245,752.6315,540.8695,637.7192,5.2868,,1592.3742,1125.0245
304,1129.1403,757.0175,544.3478,636.8421,5.2716,,1597.6458,1129.1403
305,1133.5463,750,548.6956,649.1228,5.2663,,1602.9121,1133.5463
306,1138.5682,764.035,546.9565,642.9824,5.2662,,1608.1783,1138.5682
307,1138.4086,752.6315,565.2174,640.3508,5.2824,,1613.4607,1138.4086
308,1141.1027,761.4035,560.8695,638.5964,5.2722,,1618.7329,1141.1027
309,1139.9291,767.5438,567.8261,622.807,5.2727,,1624.0056,1139.9291
310,1148.5017,778.9473,580.8695,612.2807,5.301,,1629.3066,1148.5017
311,1156.015,797.3684,580.8695,602.6315,5.2754,,1634.582,1156.015
312,1167.3972,808.7719,587.8261,602.6315,5.2701,,1639.8521,1167.3972
313,1154.3135,800.8771,583.4782,592.1052,5.2868,,1645.1389,1154.3135
314,1154.0838,797.3684,588.6956,591.228,5.2825,,1650.4214,1154.0838
315,1157.9001,800.8771,585.2174,597.3684,5.2695,,1655.6909,1157.9001
316,1150.962,784.2105,588.6956,602.6315,5.2737,,1660.9646,1150.962
317,1146.4721,781.5789,585.2174,600.8771,5.2852,,1666.2498,1146.4721
318,1162.6176,799.1228,585.2174,608.7719,5.2863,,1671.5361,1162.6176
319,1146.6505,771.0526,590.4347,609.6491,5.2706,,1676.8067,1146.6505
320,1164.5354,788.5964,591.3043,620.1754,5.2819,,1682.0886,1164.5354
321,1159.3028,785.0877,593.913,612.2807,5.2831,,1687.3717,1159.3028
322,1154.8328,782.4561,589.5652,611.4035,5.27,,1692.6417,1154.8328
323,1168.5059,789.4736,588.6956,628.9473,5.2743,,1697.916,1168.5059
324,1154.5238,775.4385,583.4782,625.4385,5.2863,,1703.2023,1154.5238
325,1134.1616,757.0175,582.6087,611.4035,5.2868,,1708.4891,1134.1616
326,1146.3758,780.7017,569.5652,616.6666,5.2667,,1713.7558,1146.3758
327,1156.4819,791.228,567.8261,623.6842,5.2749,,1719.0307,1156.4819
328,1153.6665,792.9824,563.4782,620.1754,5.2869,,1724.3176,1153.6665
329,1159.7788,799.1228,563.4782,623.6842,5.2744,,1729.592,1159.7788
330,1173.0786,809.6491,558.2608,639.4736,5.2732,,1734.8652,1173.0786
331,1166.3857,799.1228,557.3912,641.228,5.2808,,1740.146,1166.3857
332,1168.5577,795.614,560.8695,646.4912,5.2798,,1745.4258,1168.5577
333,1175.0179,792.9824,561.7391,660.5263,5.2744,,1750.7002,1175.0179
334,1166.3552,771.0526,561.7391,671.0526,5.2711,,1755.9713,1166.3552
335,1148.3524,742.9824,568.6956,665.7894,5.2771,,1761.2484,1148.3524
336,1152.6617,739.4736,569.5652,676.3157,5.2879,,1766.5363,1152.6617
337,1150.2851,739.4736,579.1304,664.035,5.2739,,1771.8102,1150.2851
338,1128.5806,709.6491,581.7391,657.0175,5.277,,1777.0872,1128.5806
339,1144.9025,728.9473,569.5652,674.5614,5.2814,,1782.3686,1144.9025
340,1121.494,693.8596,562.6087,678.0701,5.276,,1787.6446,1121.494
341,1123.7731,701.7543,553.0434,681.5789,5.2706,,1792.9152,1123.7731
342,1109.491,684.2105,541.7391,685.0877,5.2819,,1798.1971,1109.491
343,1100.326,671.9298,541.7391,682.4561,5.2809,,1803.478,1100.326
344,1096.3571,665.7894,543.4782,680.7017,5.276,,1808.754,1096.3571
345,1091.1407,650,557.3912,676.3157,5.2754,,1814.0294,1091.1407
